Gender,Education_Level,Preferred_Activities,Location,Favorite_Season,Pets,Environmental_Concerns,Preference,Proximity_to_Mountains,Proximity_to_Beaches,Vacation_Budget,Travel_Frequency,Income,Age
female,master,hiking,suburban,spring,1,1,1,135,284,2311,8,23555,35
female,high school,swimming,urban,fall,0,0,0,290,193,1715,3,40712,56
non-binary,master,sunbathing,suburban,winter,1,1,0,292,233,3758,4,30311,60
non-binary,high school,sunbathing,rural,fall,0,0,0,104,95,1293,3,72517,28
female,doctorate,hiking,suburban,summer,0,0,0,213,65,1223,9,63177,34
female,bachelor,hiking,urban,summer,1,0,1,5,277,1352,0,64375,65
male,doctorate,skiing,rural,winter,0,0,1,149,275,2269,4,52774,62
male,doctorate,hiking,urban,spring,1,1,0,127,122,3560,5,95754,39
male,high school,skiing,urban,summer,1,1,0,286,184,792,1,64749,54
male,high school,swimming,suburban,summer,0,1,0,177,135,3957,4,65000,37
female,doctorate,skiing,urban,spring,1,1,0,156,38,4484,8,94771,65
non-binary,doctorate,hiking,suburban,summer,0,0,0,257,48,2421,4,52691,65
non-binary,doctorate,sunbathing,suburban,fall,1,0,0,177,180,600,7,113721,65
male,master,swimming,rural,winter,1,1,0,144,177,4728,7,66168,63
non-binary,bachelor,sunbathing,urban,spring,0,1,0,31,86,3950,0,94227,23
male,bachelor,sunbathing,urban,winter,0,1,0,110,110,4536,5,62039,51
female,doctorate,hiking,rural,fall,1,1,1,149,245,4180,6,115941,31
male,master,skiing,rural,winter,1,0,1,7,139,3385,7,112614,65
non-binary,high school,sunbathing,suburban,fall,0,0,0,42,184,3442,0,78429,40
non-binary,high school,hiking,rural,summer,0,0,1,123,258,3841,5,80656,37
non-binary,master,skiing,urban,winter,1,1,0,235,133,2861,1,37791,30
female,high school,swimming,rural,spring,1,1,0,220,157,3956,1,23517,64
male,bachelor,swimming,rural,summer,1,1,0,183,43,1623,7,34099,61
female,high school,sunbathing,urban,summer,1,0,0,136,116,1565,0,38925,58
female,bachelor,sunbathing,suburban,spring,0,1,0,282,231,837,3,69607,49
male,doctorate,skiing,rural,fall,1,1,0,239,129,1777,2,95290,43
non-binary,bachelor,swimming,suburban,spring,0,1,0,56,297,1744,6,68004,67
non-binary,bachelor,swimming,suburban,fall,1,1,0,149,153,3525,7,54142,31
non-binary,bachelor,sunbathing,urban,winter,0,0,0,245,34,2676,7,60365,69
non-binary,bachelor,swimming,urban,summer,1,1,0,70,54,2227,4,29779,53
female,master,swimming,suburban,spring,1,1,0,285,113,1836,2,93090,25
male,master,sunbathing,urban,spring,1,1,0,151,36,2046,2,99161,57
male,high school,hiking,urban,summer,1,0,1,211,226,3343,8,86905,39
male,bachelor,skiing,rural,winter,1,0,0,192,177,3049,7,36336,39
female,high school,swimming,rural,summer,1,0,0,298,112,3987,3,63518,33
non-binary,bachelor,sunbathing,suburban,spring,0,0,0,246,76,967,4,41242,44
non-binary,doctorate,hiking,rural,spring,1,1,1,232,234,4668,0,26621,27
male,bachelor,swimming,urban,spring,1,0,0,63,26,1626,1,51446,42
non-binary,doctorate,skiing,rural,winter,0,0,0,110,4,4942,9,68113,48
female,bachelor,skiing,urban,spring,0,0,0,236,201,4988,7,117987,38
non-binary,master,skiing,suburban,spring,0,1,1,110,181,1716,8,53911,44
non-binary,master,hiking,suburban,spring,0,1,0,165,138,3487,0,63210,34
non-binary,bachelor,swimming,urban,summer,1,1,0,84,68,1697,2,53725,50
male,high school,swimming,rural,fall,1,1,0,113,157,708,4,37192,48
female,bachelor,swimming,suburban,fall,0,0,0,58,132,1258,3,118257,67
male,high school,swimming,suburban,summer,0,1,0,272,31,2310,1,95040,59
female,doctorate,skiing,rural,spring,1,1,1,71,194,4113,2,33027,43
male,doctorate,hiking,rural,summer,1,0,1,24,96,4269,0,28229,38
female,doctorate,hiking,urban,winter,0,1,0,231,185,3760,3,80561,53
female,master,sunbathing,suburban,spring,1,1,0,42,57,1406,6,88021,18
male,master,skiing,rural,winter,1,0,0,68,46,2754,7,45648,21
male,bachelor,swimming,suburban,spring,0,1,0,35,169,2824,6,88924,21
non-binary,high school,swimming,suburban,spring,0,0,0,142,289,2499,4,86063,43
female,bachelor,skiing,urban,spring,1,1,1,174,287,2211,3,83701,21
female,high school,sunbathing,rural,summer,1,1,0,0,206,4955,4,115019,66
female,master,sunbathing,rural,winter,1,1,0,211,70,2804,4,78910,26
female,master,skiing,suburban,summer,1,0,0,43,5,991,4,100990,47
female,bachelor,skiing,urban,spring,0,0,0,228,64,3905,0,29715,68
non-binary,bachelor,skiing,urban,spring,0,1,1,76,248,1337,6,83089,62
non-binary,doctorate,skiing,suburban,winter,0,1,0,255,21,3897,3,47620,21
non-binary,master,sunbathing,suburban,winter,0,1,0,23,246,2926,4,72897,22
female,doctorate,hiking,rural,summer,1,1,0,289,152,2995,0,100599,62
male,doctorate,swimming,urban,winter,1,0,0,238,219,2826,8,24233,40
male,bachelor,skiing,urban,summer,1,0,0,265,152,4930,9,100952,33
female,bachelor,sunbathing,urban,spring,0,0,0,36,73,1075,6,94652,39
non-binary,bachelor,skiing,suburban,summer,0,0,1,102,126,2843,0,30405,54
male,bachelor,swimming,suburban,spring,1,1,0,264,97,1873,1,108268,25
male,master,sunbathing,urban,winter,1,1,0,21,277,4700,7,44164,65
non-binary,master,skiing,urban,winter,0,1,1,254,257,1291,7,88582,50
female,high school,hiking,urban,fall,1,1,0,216,21,1934,1,100645,55
female,bachelor,skiing,urban,spring,1,0,0,69,2,2194,6,67837,60
female,doctorate,swimming,suburban,fall,1,1,0,61,77,1213,9,49414,33
female,doctorate,hiking,suburban,fall,1,1,0,169,111,565,0,40208,22
female,doctorate,swimming,rural,summer,0,0,0,242,250,1700,5,93603,33
male,doctorate,swimming,urban,summer,0,1,0,282,264,3716,1,91596,24
non-binary,bachelor,skiing,urban,summer,0,1,0,255,22,4237,8,75259,68
male,doctorate,swimming,urban,winter,1,1,0,266,119,1606,5,52767,18
male,doctorate,sunbathing,suburban,fall,0,0,0,66,131,4235,0,81129,26
male,master,skiing,suburban,summer,0,0,1,60,169,2289,3,87637,35
non-binary,master,hiking,urban,spring,0,1,1,210,262,2369,5,22273,62
male,bachelor,swimming,rural,summer,0,0,0,297,284,886,1,50781,64
male,high school,skiing,urban,fall,0,0,0,285,102,1536,9,50087,20
female,master,skiing,urban,spring,0,0,1,34,153,626,6,66481,41
non-binary,doctorate,skiing,rural,winter,1,0,0,267,28,2671,9,52456,45
female,high school,swimming,rural,winter,0,0,0,135,220,2424,4,84277,27
female,doctorate,sunbathing,urban,spring,1,0,0,22,107,1147,2,84145,26
male,bachelor,hiking,rural,winter,0,0,1,93,252,3781,7,35012,30
female,high school,sunbathing,suburban,winter,0,0,0,266,94,4191,5,68494,65
male,master,sunbathing,rural,winter,0,1,0,64,84,974,8,47808,52
female,bachelor,swimming,suburban,summer,1,0,0,229,133,1740,2,25039,40
non-binary,doctorate,hiking,suburban,winter,0,0,1,87,163,851,9,112207,64
non-binary,bachelor,hiking,rural,fall,0,0,0,128,85,4927,5,81825,34
female,bachelor,sunbathing,suburban,summer,1,1,0,62,245,512,6,36632,63
male,high school,swimming,urban,fall,0,0,0,199,148,1790,0,28217,24
male,high school,hiking,rural,spring,1,0,1,101,287,4523,6,47792,69
male,bachelor,sunbathing,rural,fall,1,1,0,79,279,716,0,58147,33
female,doctorate,skiing,suburban,winter,0,0,1,8,257,607,9,63016,57
male,master,sunbathing,urban,winter,1,0,0,31,119,4905,3,104467,53
female,bachelor,swimming,urban,winter,0,1,0,197,298,4663,2,82729,37
non-binary,high school,sunbathing,rural,winter,1,0,0,7,137,1433,7,83728,41
male,doctorate,sunbathing,rural,summer,1,1,0,4,95,3944,2,66896,64
female,doctorate,skiing,suburban,spring,1,1,0,97,90,2402,7,44103,22
male,bachelor,hiking,urban,fall,1,0,0,148,87,669,3,46800,62
female,master,sunbathing,suburban,fall,1,0,0,47,272,521,9,64501,23
male,high school,sunbathing,suburban,summer,0,1,0,208,33,788,5,101384,45
non-binary,high school,sunbathing,suburban,summer,1,0,0,250,92,4894,7,116480,22
female,bachelor,swimming,urban,summer,0,0,0,170,63,2281,9,115473,66
female,bachelor,skiing,suburban,fall,0,0,0,250,218,1684,7,90021,56
non-binary,doctorate,skiing,rural,winter,0,0,0,222,180,718,7,119647,55
non-binary,doctorate,skiing,suburban,winter,0,1,1,118,157,2093,2,119222,19
male,doctorate,hiking,rural,summer,1,1,1,52,153,3443,5,75245,60
female,high school,skiing,urban,fall,1,0,1,5,102,3147,7,93268,56
female,master,hiking,rural,fall,1,1,1,86,167,3988,7,108592,38
male,doctorate,swimming,rural,spring,0,0,0,101,288,1374,6,20576,57
male,bachelor,sunbathing,urban,fall,0,0,0,118,102,3529,5,50667,54
female,doctorate,skiing,urban,winter,0,1,0,121,75,1992,7,92258,35
non-binary,bachelor,sunbathing,urban,spring,1,0,0,40,84,4218,8,69324,65
male,doctorate,hiking,suburban,summer,1,0,1,123,239,1348,8,100099,63
female,high school,hiking,urban,fall,1,0,0,131,25,3423,3,56951,29
male,master,hiking,rural,summer,1,1,0,212,63,2279,5,108815,34
non-binary,high school,swimming,rural,spring,1,0,0,243,225,2816,3,107757,54
female,master,hiking,rural,fall,0,1,0,228,161,1309,2,46660,63
female,high school,swimming,urban,winter,1,0,0,257,232,1240,6,46906,55
female,high school,hiking,suburban,winter,1,1,1,95,190,2565,8,48110,32
non-binary,doctorate,hiking,urban,fall,1,1,0,73,25,930,6,88715,24
male,doctorate,hiking,urban,winter,1,0,1,80,279,4066,9,107109,31
non-binary,doctorate,skiing,rural,fall,0,1,0,299,11,3079,3,87250,67
non-binary,master,sunbathing,urban,fall,0,0,0,86,19,914,9,45709,18
non-binary,high school,skiing,suburban,winter,0,1,1,82,152,3093,3,101357,55
female,bachelor,swimming,suburban,summer,0,1,0,30,99,3537,8,46790,20
non-binary,bachelor,swimming,suburban,fall,0,0,0,237,235,1502,5,69528,54
female,bachelor,skiing,urban,fall,0,1,1,181,217,3194,8,113545,61
female,bachelor,hiking,rural,fall,0,1,1,74,197,1448,1,88637,48
male,doctorate,swimming,suburban,spring,0,1,0,39,68,1441,1,92238,60
male,master,skiing,suburban,winter,1,1,1,22,62,4011,6,57550,30
non-binary,doctorate,sunbathing,urban,winter,0,0,0,201,101,4021,8,66129,65
female,high school,skiing,urban,fall,0,1,0,236,142,1191,6,95550,35
female,master,swimming,suburban,summer,1,1,0,56,136,4384,1,114408,34
male,bachelor,skiing,urban,fall,0,1,1,37,170,1579,5,45851,34
female,doctorate,sunbathing,suburban,fall,1,0,0,279,112,599,2,72015,28
non-binary,doctorate,sunbathing,rural,summer,1,1,0,162,77,1089,1,47329,37
female,high school,sunbathing,rural,spring,1,0,0,166,56,4103,1,22094,27
non-binary,doctorate,hiking,rural,winter,1,0,1,50,217,3963,5,36556,46
male,high school,hiking,suburban,winter,1,0,0,168,52,1169,5,35488,65
male,master,swimming,suburban,fall,1,0,0,89,37,1493,6,30433,51
female,master,hiking,rural,summer,1,1,0,196,183,4913,9,109583,34
female,master,skiing,suburban,spring,0,1,0,162,92,3395,6,47254,69
male,bachelor,hiking,suburban,spring,0,0,1,126,220,4509,9,29691,59
non-binary,high school,hiking,suburban,winter,1,0,1,140,224,4749,9,32822,30
non-binary,master,swimming,suburban,summer,0,1,0,35,41,2161,4,20915,61
non-binary,master,skiing,rural,spring,0,0,0,162,48,4381,3,96192,64
male,master,sunbathing,rural,fall,0,0,0,170,52,1237,4,36221,56
male,doctorate,sunbathing,suburban,spring,0,0,0,167,201,3474,1,25349,44
male,bachelor,skiing,suburban,winter,1,0,1,14,209,2059,0,65656,43
female,bachelor,swimming,rural,spring,1,0,0,159,64,3282,8,79439,45
male,high school,swimming,rural,summer,0,1,0,242,282,4020,4,81839,30
non-binary,doctorate,swimming,urban,fall,1,0,0,158,122,2953,2,48261,29
non-binary,doctorate,sunbathing,suburban,spring,0,1,0,178,109,2673,9,83485,61
male,bachelor,swimming,rural,spring,1,0,0,83,176,4957,9,118798,45
male,bachelor,skiing,rural,spring,1,0,1,38,202,1536,9,69146,19
non-binary,master,skiing,rural,spring,0,1,0,289,38,3530,0,89766,54
male,high school,skiing,suburban,spring,0,1,0,279,144,4580,3,116573,51
female,doctorate,hiking,suburban,summer,0,1,1,64,215,1348,1,115568,40
male,high school,swimming,suburban,winter,1,1,0,273,245,1791,6,80336,69
non-binary,master,swimming,suburban,fall,0,1,0,291,296,3090,8,118407,62
non-binary,high school,sunbathing,urban,spring,1,1,0,59,118,3867,7,56355,46
male,master,sunbathing,rural,spring,1,1,0,40,215,3086,6,96556,52
non-binary,doctorate,hiking,suburban,fall,0,0,1,43,158,1992,7,95615,28
male,high school,swimming,suburban,winter,0,1,0,77,273,994,9,56266,65
non-binary,doctorate,hiking,suburban,winter,0,1,0,162,60,1169,4,58795,50
non-binary,master,skiing,rural,winter,1,1,0,249,228,672,0,71063,68
non-binary,master,sunbathing,rural,winter,0,1,0,216,262,609,6,108013,28
male,high school,swimming,suburban,spring,1,0,0,29,187,4383,0,111220,26
male,doctorate,sunbathing,suburban,winter,1,0,0,70,40,3444,0,70464,31
male,bachelor,sunbathing,suburban,summer,1,1,0,15,112,4876,3,28514,26
female,master,skiing,urban,winter,1,1,0,268,153,4224,0,108782,56
female,doctorate,skiing,suburban,summer,0,0,0,210,182,2124,0,66598,65
female,doctorate,sunbathing,rural,summer,1,1,0,148,243,1864,0,109898,20
non-binary,doctorate,sunbathing,rural,spring,0,0,0,98,193,4021,8,60623,46
non-binary,bachelor,swimming,rural,summer,1,0,0,169,119,1866,1,43257,36
male,master,swimming,urban,winter,1,1,0,270,59,3554,9,24761,53
non-binary,bachelor,sunbathing,suburban,winter,0,1,0,58,78,1838,1,95194,49
female,bachelor,sunbathing,rural,fall,1,1,0,22,49,4812,9,41107,24
female,high school,swimming,rural,summer,0,0,0,193,280,3350,5,41175,45
male,doctorate,skiing,suburban,spring,0,0,0,179,113,1049,0,74636,61
non-binary,master,sunbathing,urban,spring,1,1,0,257,98,3407,4,95841,35
non-binary,high school,swimming,rural,fall,1,0,0,58,192,2888,8,72327,22
female,master,sunbathing,suburban,summer,1,0,0,234,133,3575,3,85166,40
male,doctorate,sunbathing,urban,winter,0,0,0,134,70,787,0,79102,39
female,master,sunbathing,urban,spring,0,1,0,208,205,2346,8,103361,43
non-binary,bachelor,sunbathing,rural,spring,0,1,0,234,139,1111,7,45739,59
female,doctorate,sunbathing,rural,spring,1,1,0,199,86,4852,7,72357,29
female,master,swimming,rural,fall,1,1,0,159,93,4895,6,79002,57
non-binary,high school,swimming,urban,winter,0,0,0,265,188,3568,7,72711,36
non-binary,bachelor,hiking,urban,summer,0,0,1,99,185,2752,7,77567,64
non-binary,bachelor,skiing,rural,summer,0,0,1,130,222,2779,5,101545,18
female,doctorate,sunbathing,rural,fall,0,0,0,84,294,3716,7,74140,20
female,doctorate,swimming,rural,spring,1,1,0,34,144,4593,9,111544,44
female,bachelor,swimming,suburban,winter,0,1,0,276,23,2460,3,80124,35
male,doctorate,sunbathing,suburban,spring,0,1,0,35,90,4903,3,21967,67
male,master,skiing,suburban,fall,1,1,0,290,246,4213,7,90998,47
non-binary,doctorate,swimming,urban,winter,1,0,0,202,264,1754,5,39430,19
male,bachelor,swimming,suburban,winter,0,0,0,55,165,2273,1,103383,22
non-binary,master,sunbathing,rural,winter,0,0,0,141,59,2757,6,37211,46
female,doctorate,swimming,rural,spring,0,0,0,126,280,2298,2,35238,50
non-binary,master,sunbathing,rural,summer,0,0,0,190,253,4459,2,48784,59
female,high school,sunbathing,rural,fall,1,1,0,241,227,1045,8,87451,37
non-binary,doctorate,sunbathing,rural,spring,0,1,0,217,3,4155,0,56365,47
male,master,swimming,urban,winter,0,0,0,0,124,4629,2,21892,59
female,bachelor,swimming,rural,spring,0,1,0,281,40,2310,5,38561,22
female,doctorate,hiking,urban,fall,1,1,0,295,193,4839,2,77022,67
female,high school,sunbathing,urban,fall,0,0,0,288,65,4878,3,55620,38
male,high school,swimming,rural,summer,1,1,0,292,39,4710,4,98660,32
male,master,sunbathing,urban,winter,0,1,0,69,13,2643,2,38709,37
male,master,hiking,urban,fall,0,1,1,115,117,1332,6,35173,25
female,master,swimming,urban,winter,1,0,0,0,246,1558,7,98636,66
non-binary,master,swimming,suburban,spring,0,0,0,234,133,2944,2,97809,48
non-binary,master,skiing,rural,winter,0,1,0,260,167,2488,9,38180,29
male,high school,skiing,urban,winter,1,1,0,290,160,1628,2,46158,38
non-binary,master,sunbathing,suburban,summer,0,0,0,205,105,3286,3,95606,47
female,doctorate,hiking,urban,winter,0,0,1,59,84,3510,0,99425,44
female,master,swimming,urban,fall,1,1,0,84,64,2349,9,68788,61
male,high school,sunbathing,urban,fall,0,1,0,267,49,758,5,31640,43
male,bachelor,sunbathing,suburban,winter,0,0,0,188,156,3710,5,77596,50
non-binary,doctorate,sunbathing,rural,summer,1,1,0,163,144,3533,5,62753,43
non-binary,bachelor,sunbathing,rural,winter,1,1,0,260,158,2440,8,113457,43
non-binary,doctorate,skiing,suburban,winter,0,0,1,168,298,2243,7,69965,53
male,bachelor,sunbathing,rural,winter,0,0,0,255,196,4226,1,30948,57
male,master,skiing,rural,summer,0,0,1,215,229,4548,8,80168,18
male,high school,hiking,urban,fall,1,1,1,51,164,731,2,114861,32
female,bachelor,skiing,urban,spring,0,0,1,106,230,4284,8,27747,67
non-binary,doctorate,hiking,rural,summer,1,0,0,186,147,713,1,71904,18
male,bachelor,sunbathing,urban,spring,1,0,0,57,86,2111,5,45895,28
male,bachelor,sunbathing,urban,winter,0,1,0,218,9,1651,5,34997,19
male,master,skiing,suburban,fall,1,0,1,109,119,4162,9,83502,18
non-binary,bachelor,hiking,suburban,winter,1,0,1,141,247,559,8,31160,48
non-binary,bachelor,swimming,rural,fall,0,0,0,44,108,4842,1,62815,61
female,doctorate,hiking,urban,spring,0,0,0,262,59,1852,9,119999,33
female,doctorate,hiking,suburban,spring,0,1,1,254,266,4231,1,58110,39
female,doctorate,swimming,urban,spring,0,0,0,175,11,2839,8,80841,59
female,doctorate,sunbathing,rural,spring,1,1,0,61,124,1549,1,107254,35
male,master,skiing,suburban,fall,1,1,1,135,268,4120,4,28848,64
female,doctorate,hiking,urban,winter,1,0,0,173,14,3064,2,92061,34
male,high school,skiing,suburban,winter,1,0,0,248,166,4796,4,24769,47
male,master,sunbathing,suburban,summer,1,1,0,123,226,548,9,81486,27
non-binary,master,sunbathing,urban,winter,1,1,0,68,15,4467,0,24777,52
male,bachelor,hiking,rural,fall,0,1,0,262,119,671,3,65559,38
non-binary,high school,swimming,urban,summer,1,0,0,66,212,4598,4,23037,33
female,doctorate,hiking,suburban,fall,1,0,0,199,34,4810,1,20578,23
female,master,skiing,urban,summer,0,0,0,183,16,979,0,26373,20
non-binary,doctorate,sunbathing,urban,summer,0,1,0,104,281,4205,9,104499,58
non-binary,high school,hiking,urban,summer,1,1,1,102,293,4734,1,74716,60
female,master,sunbathing,urban,spring,0,1,0,82,20,2522,6,32438,38
male,bachelor,swimming,urban,summer,1,1,0,67,51,1846,0,43062,30
male,bachelor,skiing,suburban,winter,1,0,1,104,237,4293,7,89524,35
non-binary,doctorate,hiking,suburban,spring,0,0,0,264,121,2624,9,117195,41
male,master,sunbathing,urban,fall,0,0,0,130,78,4652,8,30233,44
male,high school,hiking,suburban,summer,1,1,0,100,86,4217,5,23635,21
female,master,swimming,rural,fall,1,1,0,20,123,3728,1,29416,39
non-binary,high school,swimming,rural,winter,1,1,0,165,286,3322,0,110022,41
female,doctorate,sunbathing,urban,spring,0,1,0,80,18,3985,8,44085,57
male,bachelor,sunbathing,suburban,spring,1,0,0,34,269,2294,3,20210,62
male,doctorate,skiing,urban,spring,1,0,0,126,85,3823,4,28772,27
female,doctorate,swimming,suburban,fall,0,1,0,267,30,2568,7,90097,19
male,high school,hiking,suburban,winter,1,1,0,189,156,859,4,49316,57
male,bachelor,sunbathing,suburban,winter,1,0,0,239,10,4460,0,60380,23
female,bachelor,swimming,urban,summer,0,0,0,274,211,3050,3,48902,65
male,doctorate,swimming,urban,winter,0,0,0,70,101,2432,6,74777,35
female,master,sunbathing,rural,winter,1,1,0,237,206,4080,7,93981,34
non-binary,bachelor,sunbathing,urban,spring,0,0,0,197,141,1099,1,63737,55
male,high school,hiking,urban,spring,0,1,0,251,237,2104,5,111343,62
male,doctorate,sunbathing,suburban,winter,1,0,0,167,41,922,5,25755,40
female,doctorate,hiking,rural,winter,0,0,0,112,15,719,3,26666,63
non-binary,doctorate,sunbathing,urban,summer,1,1,0,109,146,1378,4,118370,47
male,bachelor,sunbathing,urban,summer,0,0,0,142,78,1133,3,87395,38
male,master,swimming,rural,summer,1,0,0,203,108,1648,9,80272,27
non-binary,bachelor,hiking,suburban,summer,0,0,1,101,144,3334,7,44456,60
